,album,artists,disc_number,duration_ms,explicit,external_ids,external_urls,href,id,is_local,is_playable,name,popularity,preview_url,track_number,type,uri
0,"{'album_type': 'single', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6zsJjoCtL1WByG0VsuFWzR'}, 'href': 'https://api.spotify.com/v1/artists/6zsJjoCtL1WByG0VsuFWzR', 'id': '6zsJjoCtL1WByG0VsuFWzR', 'name': 'BLOND:ISH', 'type': 'artist', 'uri': 'spotify:artist:6zsJjoCtL1WByG0VsuFWzR'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/1agEHpWnELaZHWzcbGDCpu'}, 'href': 'https://api.spotify.com/v1/albums/1agEHpWnELaZHWzcbGDCpu', 'id': '1agEHpWnELaZHWzcbGDCpu', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e6b77b3eef9269d06e13fe17', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e6b77b3eef9269d06e13fe17', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e6b77b3eef9269d06e13fe17', 'width': 64}], 'is_playable': True, 'name': 'Fortnight (feat. Post Malone) [BLOND:ISH Remix]', 'release_date': '2024-05-22', 'release_date_precision': 'day', 'total_tracks': 2, 'type': 'album', 'uri': 'spotify:album:1agEHpWnELaZHWzcbGDCpu'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60'}, 'href': 'https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60', 'id': '246dkjvS1zLTtiykXe5h60', 'name': 'Post Malone', 'type': 'artist', 'uri': 'spotify:artist:246dkjvS1zLTtiykXe5h60'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6zsJjoCtL1WByG0VsuFWzR'}, 'href': 'https://api.spotify.com/v1/artists/6zsJjoCtL1WByG0VsuFWzR', 'id': '6zsJjoCtL1WByG0VsuFWzR', 'name': 'BLOND:ISH', 'type': 'artist', 'uri': 'spotify:artist:6zsJjoCtL1WByG0VsuFWzR'}]",1,216979,False,{'isrc': 'USUG12403311'},{'spotify': 'https://open.spotify.com/track/1gejz5ROvJBUb6WJzkMAcc'},https://api.spotify.com/v1/tracks/1gejz5ROvJBUb6WJzkMAcc,1gejz5ROvJBUb6WJzkMAcc,False,True,Fortnight (feat. Post Malone) - BLOND:ISH Remix,65,,1,track,spotify:track:1gejz5ROvJBUb6WJzkMAcc
1,"{'album_type': 'single', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6zsJjoCtL1WByG0VsuFWzR'}, 'href': 'https://api.spotify.com/v1/artists/6zsJjoCtL1WByG0VsuFWzR', 'id': '6zsJjoCtL1WByG0VsuFWzR', 'name': 'BLOND:ISH', 'type': 'artist', 'uri': 'spotify:artist:6zsJjoCtL1WByG0VsuFWzR'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/1agEHpWnELaZHWzcbGDCpu'}, 'href': 'https://api.spotify.com/v1/albums/1agEHpWnELaZHWzcbGDCpu', 'id': '1agEHpWnELaZHWzcbGDCpu', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e6b77b3eef9269d06e13fe17', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e6b77b3eef9269d06e13fe17', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e6b77b3eef9269d06e13fe17', 'width': 64}], 'is_playable': True, 'name': 'Fortnight (feat. Post Malone) [BLOND:ISH Remix]', 'release_date': '2024-05-22', 'release_date_precision': 'day', 'total_tracks': 2, 'type': 'album', 'uri': 'spotify:album:1agEHpWnELaZHWzcbGDCpu'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60'}, 'href': 'https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60', 'id': '246dkjvS1zLTtiykXe5h60', 'name': 'Post Malone', 'type': 'artist', 'uri': 'spotify:artist:246dkjvS1zLTtiykXe5h60'}]",1,228965,False,{'isrc': 'USUG12401028'},{'spotify': 'https://open.spotify.com/track/20nACtTlLpHqevuIVVD166'},https://api.spotify.com/v1/tracks/20nACtTlLpHqevuIVVD166,20nACtTlLpHqevuIVVD166,False,True,Fortnight (feat. Post Malone),59,,2,track,spotify:track:20nACtTlLpHqevuIVVD166
2,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/1NAmidJlEaVgA3MpcPFYGq'}, 'href': 'https://api.spotify.com/v1/albums/1NAmidJlEaVgA3MpcPFYGq', 'id': '1NAmidJlEaVgA3MpcPFYGq', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e787cffec20aa2a396a61647', 'width': 64}], 'is_playable': True, 'name': 'Lover', 'release_date': '2019-08-23', 'release_date_precision': 'day', 'total_tracks': 18, 'type': 'album', 'uri': 'spotify:album:1NAmidJlEaVgA3MpcPFYGq'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}]",1,178426,False,{'isrc': 'USUG11901472'},{'spotify': 'https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr'},https://api.spotify.com/v1/tracks/1BxfuPKGuaTgP7aM0Bbdwr,1BxfuPKGuaTgP7aM0Bbdwr,False,True,Cruel Summer,94,,2,track,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr
3,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/1Mo4aZ8pdj6L1jx8zSwJnt'}, 'href': 'https://api.spotify.com/v1/albums/1Mo4aZ8pdj6L1jx8zSwJnt', 'id': '1Mo4aZ8pdj6L1jx8zSwJnt', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735076e4160d018e378f488c33', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048515076e4160d018e378f488c33', 'width': 64}], 'is_playable': True, 'name': 'THE TORTURED POETS DEPARTMENT', 'release_date': '2024-04-18', 'release_date_precision': 'day', 'total_tracks': 16, 'type': 'album', 'uri': 'spotify:album:1Mo4aZ8pdj6L1jx8zSwJnt'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60'}, 'href': 'https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60', 'id': '246dkjvS1zLTtiykXe5h60', 'name': 'Post Malone', 'type': 'artist', 'uri': 'spotify:artist:246dkjvS1zLTtiykXe5h60'}]",1,228965,False,{'isrc': 'USUG12401028'},{'spotify': 'https://open.spotify.com/track/2OzhQlSqBEmt7hmkYxfT6m'},https://api.spotify.com/v1/tracks/2OzhQlSqBEmt7hmkYxfT6m,2OzhQlSqBEmt7hmkYxfT6m,False,True,Fortnight (feat. Post Malone),95,,1,track,spotify:track:2OzhQlSqBEmt7hmkYxfT6m
4,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/1NAmidJlEaVgA3MpcPFYGq'}, 'href': 'https://api.spotify.com/v1/albums/1NAmidJlEaVgA3MpcPFYGq', 'id': '1NAmidJlEaVgA3MpcPFYGq', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e787cffec20aa2a396a61647', 'width': 64}], 'is_playable': True, 'name': 'Lover', 'release_date': '2019-08-23', 'release_date_precision': 'day', 'total_tracks': 18, 'type': 'album', 'uri': 'spotify:album:1NAmidJlEaVgA3MpcPFYGq'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}]",1,221306,False,{'isrc': 'USUG11901473'},{'spotify': 'https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI'},https://api.spotify.com/v1/tracks/1dGr1c8CrMLDpV6mPbImSI,1dGr1c8CrMLDpV6mPbImSI,False,True,Lover,87,,3,track,spotify:track:1dGr1c8CrMLDpV6mPbImSI
5,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/1yGbNOtRIgdIiGHOEBaZWf'}, 'href': 'https://api.spotify.com/v1/albums/1yGbNOtRIgdIiGHOEBaZWf', 'id': '1yGbNOtRIgdIiGHOEBaZWf', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27352b2a3824413eefe9e33817a', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0252b2a3824413eefe9e33817a', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485152b2a3824413eefe9e33817a', 'width': 64}], 'is_playable': True, 'name': '1989 (Deluxe)', 'release_date': '2014-01-01', 'release_date_precision': 'day', 'total_tracks': 19, 'type': 'album', 'uri': 'spotify:album:1yGbNOtRIgdIiGHOEBaZWf'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}]",1,231000,False,{'isrc': 'USCJY1431319'},{'spotify': 'https://open.spotify.com/track/0ug5NqcwcFR2xrfTkc7k8e'},https://api.spotify.com/v1/tracks/0ug5NqcwcFR2xrfTkc7k8e,0ug5NqcwcFR2xrfTkc7k8e,False,True,Style,80,,3,track,spotify:track:0ug5NqcwcFR2xrfTkc7k8e
6,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/1Mo4aZ8pdj6L1jx8zSwJnt'}, 'href': 'https://api.spotify.com/v1/albums/1Mo4aZ8pdj6L1jx8zSwJnt', 'id': '1Mo4aZ8pdj6L1jx8zSwJnt', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735076e4160d018e378f488c33', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048515076e4160d018e378f488c33', 'width': 64}], 'is_playable': True, 'name': 'THE TORTURED POETS DEPARTMENT', 'release_date': '2024-04-18', 'release_date_precision': 'day', 'total_tracks': 16, 'type': 'album', 'uri': 'spotify:album:1Mo4aZ8pdj6L1jx8zSwJnt'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}]",1,218004,True,{'isrc': 'USUG12401040'},{'spotify': 'https://open.spotify.com/track/4q5YezDOIPcoLr8R81x9qy'},https://api.spotify.com/v1/tracks/4q5YezDOIPcoLr8R81x9qy,4q5YezDOIPcoLr8R81x9qy,False,True,I Can Do It With a Broken Heart,90,,13,track,spotify:track:4q5YezDOIPcoLr8R81x9qy
7,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/5H7ixXZfsNMGbIE5OBSpcb'}, 'href': 'https://api.spotify.com/v1/albums/5H7ixXZfsNMGbIE5OBSpcb', 'id': '5H7ixXZfsNMGbIE5OBSpcb', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048518ecc33f195df6aa257c39eaa', 'width': 64}], 'is_playable': True, 'name': 'THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY', 'release_date': '2024-04-19', 'release_date_precision': 'day', 'total_tracks': 31, 'type': 'album', 'uri': 'spotify:album:5H7ixXZfsNMGbIE5OBSpcb'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60'}, 'href': 'https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60', 'id': '246dkjvS1zLTtiykXe5h60', 'name': 'Post Malone', 'type': 'artist', 'uri': 'spotify:artist:246dkjvS1zLTtiykXe5h60'}]",1,228965,False,{'isrc': 'USUG12401028'},{'spotify': 'https://open.spotify.com/track/6dODwocEuGzHAavXqTbwHv'},https://api.spotify.com/v1/tracks/6dODwocEuGzHAavXqTbwHv,6dODwocEuGzHAavXqTbwHv,False,True,Fortnight (feat. Post Malone),91,,1,track,spotify:track:6dODwocEuGzHAavXqTbwHv
8,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/1yGbNOtRIgdIiGHOEBaZWf'}, 'href': 'https://api.spotify.com/v1/albums/1yGbNOtRIgdIiGHOEBaZWf', 'id': '1yGbNOtRIgdIiGHOEBaZWf', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27352b2a3824413eefe9e33817a', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0252b2a3824413eefe9e33817a', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485152b2a3824413eefe9e33817a', 'width': 64}], 'is_playable': True, 'name': '1989 (Deluxe)', 'release_date': '2014-01-01', 'release_date_precision': 'day', 'total_tracks': 19, 'type': 'album', 'uri': 'spotify:album:1yGbNOtRIgdIiGHOEBaZWf'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}]",1,231826,False,{'isrc': 'USCJY1431309'},{'spotify': 'https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g'},https://api.spotify.com/v1/tracks/1u8c2t2Cy7UBoG4ArRcF5g,1u8c2t2Cy7UBoG4ArRcF5g,False,True,Blank Space,82,,2,track,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g
9,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/1Mo4aZ8pdj6L1jx8zSwJnt'}, 'href': 'https://api.spotify.com/v1/albums/1Mo4aZ8pdj6L1jx8zSwJnt', 'id': '1Mo4aZ8pdj6L1jx8zSwJnt', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735076e4160d018e378f488c33', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048515076e4160d018e378f488c33', 'width': 64}], 'is_playable': True, 'name': 'THE TORTURED POETS DEPARTMENT', 'release_date': '2024-04-18', 'release_date_precision': 'day', 'total_tracks': 16, 'type': 'album', 'uri': 'spotify:album:1Mo4aZ8pdj6L1jx8zSwJnt'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}]",1,261228,True,{'isrc': 'USUG12401031'},{'spotify': 'https://open.spotify.com/track/2F3N9tdombb64aW6VtZOdo'},https://api.spotify.com/v1/tracks/2F3N9tdombb64aW6VtZOdo,2F3N9tdombb64aW6VtZOdo,False,True,Down Bad,88,,4,track,spotify:track:2F3N9tdombb64aW6VtZOdo
10,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/2fenSS68JI1h4Fo296JfGr'}, 'href': 'https://api.spotify.com/v1/albums/2fenSS68JI1h4Fo296JfGr', 'id': '2fenSS68JI1h4Fo296JfGr', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0295f754318336a07e85ec59bc', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485195f754318336a07e85ec59bc', 'width': 64}], 'is_playable': True, 'name': 'folklore', 'release_date': '2020-07-24', 'release_date_precision': 'day', 'total_tracks': 16, 'type': 'album', 'uri': 'spotify:album:2fenSS68JI1h4Fo296JfGr'}","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}]",1,261922,False,{'isrc': 'USUG12002842'},{'spotify': 'https://open.spotify.com/track/3hUxzQpSfdDqwM3ZTFQY0K'},https://api.spotify.com/v1/tracks/3hUxzQpSfdDqwM3ZTFQY0K,3hUxzQpSfdDqwM3ZTFQY0K,False,True,august,85,,8,track,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K
